instrumentgroup	instrumenttype	positions	pitch	octave	stroke	remark	midinote	sample
GONG_KEBYAR	REYONG	[REYONG_2,REYONG_3]	DUNG	1	OPEN		8	Reyong DUNG1.wav
GONG_KEBYAR	REYONG	[REYONG_3,REYONG_4]	DANG	1	OPEN		9	Reyong DANG1.wav
GONG_KEBYAR	REYONG	[REYONG_3,REYONG_4]	DING	2	OPEN		10	Reyong DING2.wav
GONG_KEBYAR	REYONG	[REYONG_3,REYONG_4]	DONG	2	OPEN		11	Reyong DONG2.wav
GONG_KEBYAR	REYONG	[REYONG_4]	DENG	2	OPEN		12	Reyong DENG2.wav
GONG_KEBYAR	REYONG	[REYONG_4]	DUNG	2	OPEN		13	Reyong DUNG2.wav
GONG_KEBYAR	REYONG	[REYONG_1]	BYONG		OPEN		14	Reyong BYONG.wav
GONG_KEBYAR	REYONG	[REYONG_2]	BYONG		OPEN		15	Reyong BYONG.wav
GONG_KEBYAR	REYONG	[REYONG_3]	BYONG		OPEN		16	Reyong BYONG.wav
GONG_KEBYAR	REYONG	[REYONG_4]	BYONG		OPEN		17	Reyong BYONG.wav
GONG_KEBYAR	REYONG	[REYONG_1]	BYONG		ABBREVIATED	Byot	18	Reyong BYOT.wav
GONG_KEBYAR	REYONG	[REYONG_2]	BYONG		ABBREVIATED	Byot	19	Reyong BYOT.wav
GONG_KEBYAR	REYONG	[REYONG_3]	BYONG		ABBREVIATED	Byot	20	Reyong BYOT.wav
GONG_KEBYAR	REYONG	[REYONG_4]	BYONG		ABBREVIATED	Byot	21	Reyong BYOT.wav
GONG_KEBYAR	REYONG	[REYONG_1]	BYONG		MUTED	Jet	22	Reyong JET.wav
GONG_KEBYAR	REYONG	[REYONG_2]	BYONG		MUTED	Jet	23	Reyong JET.wav
GONG_KEBYAR	REYONG	[REYONG_3]	BYONG		MUTED	Jet	24	Reyong JET.wav
GONG_KEBYAR	REYONG	[REYONG_4]	BYONG		MUTED	Jet	25	Reyong JET.wav
GONG_KEBYAR	REYONG		TICK		OPEN		26	Reyong TICK_1_PANGGUL.wav
GONG_KEBYAR	REYONG		TICK_2_PANGGUL		OPEN		27	Reyong TICK_2_PANGGUL.wav
GONG_KEBYAR	TROMPONG		DANG	0	OPEN		0	
GONG_KEBYAR	TROMPONG		DING	1	OPEN		0	
GONG_KEBYAR	TROMPONG		DONG	1	OPEN		0	
GONG_KEBYAR	TROMPONG		DENG	1	OPEN		0	
GONG_KEBYAR	TROMPONG		DUNG	1	OPEN		0	
GONG_KEBYAR	TROMPONG		DANG	1	OPEN		0	
GONG_KEBYAR	TROMPONG		DING	2	OPEN		0	
GONG_KEBYAR	TROMPONG		DONG	2	OPEN		0	
GONG_KEBYAR	TROMPONG		DENG	2	OPEN		0	
GONG_KEBYAR	TROMPONG		DUNG	2	OPEN		0	
GONG_KEBYAR	TROMPONG		DANG	2	OPEN		0	
GONG_KEBYAR	TROMPONG		BYONG		OPEN	byong	0	
GONG_KEBYAR	TROMPONG		BYONG		ABBREVIATED	byot	0	
GONG_KEBYAR	TROMPONG		BYONG		MUTED	jet	0	
GONG_KEBYAR	TROMPONG		TICK		OPEN		0	
GONG_KEBYAR	TROMPONG		TICK_2_PANGGUL		OPEN		0	
SEMAR_PAGULINGAN	GONGS		G		OPEN			
SEMAR_PAGULINGAN	GONGS		PUR		OPEN			
SEMAR_PAGULINGAN	GONGS		TONG		OPEN			
SEMAR_PAGULINGAN	KEMPLI		TICK		OPEN			
SEMAR_PAGULINGAN	CENGCENG		OPEN		OPEN			
SEMAR_PAGULINGAN	CENGCENG		MUTED		MUTED			
SEMAR_PAGULINGAN	KENDANG		KAP		OPEN			
SEMAR_PAGULINGAN	KENDANG		PEK		OPEN			
SEMAR_PAGULINGAN	KENDANG		DAG		OPEN			
SEMAR_PAGULINGAN	KENDANG		TUT		OPEN			
SEMAR_PAGULINGAN	KENDANG		KRUM		OPEN			
SEMAR_PAGULINGAN	KENDANG		PUNG		OPEN			
SEMAR_PAGULINGAN	KENDANG		PLAK		OPEN			
SEMAR_PAGULINGAN	KENDANG		DAG		OPEN			
SEMAR_PAGULINGAN	KENDANG		DUG		OPEN			
SEMAR_PAGULINGAN	JEGOGAN		DING	1	OPEN			
SEMAR_PAGULINGAN	JEGOGAN		DONG	1	OPEN			
SEMAR_PAGULINGAN	JEGOGAN		DENG	1	OPEN			
SEMAR_PAGULINGAN	JEGOGAN		DEUNG	1	OPEN			
SEMAR_PAGULINGAN	JEGOGAN		DUNG	1	OPEN			
SEMAR_PAGULINGAN	JEGOGAN		DANG	1	OPEN			
SEMAR_PAGULINGAN	JEGOGAN		DAING	1	OPEN			
SEMAR_PAGULINGAN	CALUNG		DING	1	OPEN			
SEMAR_PAGULINGAN	CALUNG		DONG	1	OPEN			
SEMAR_PAGULINGAN	CALUNG		DENG	1	OPEN			
SEMAR_PAGULINGAN	CALUNG		DEUNG	1	OPEN			
SEMAR_PAGULINGAN	CALUNG		DUNG	1	OPEN			
SEMAR_PAGULINGAN	CALUNG		DANG	1	OPEN			
SEMAR_PAGULINGAN	CALUNG		DAING	1	OPEN			
SEMAR_PAGULINGAN	PEMADE		DING	1	OPEN			
SEMAR_PAGULINGAN	PEMADE		DONG	1	OPEN			
