instrumentgroup	instrumenttype	positions	pitch	octave	stroke	remark	midinote	rootnote	sample
GONG_KEBYAR	GONGS		GIR		OPEN		2	GK GIR	GK Gong.wav
GONG_KEBYAR	GONGS		PUR		OPEN		3	GK PUR	GK Kempur.wav
GONG_KEBYAR	GONGS		TONG		OPEN		4	GK TONG	GK Kemong.wav
GONG_KEBYAR	KEMPLI		STRIKE		MUTED		1	GK KEMPLI	GK Kempli.wav
GONG_KEBYAR	CENGCENG		OPEN		OPEN		0		
GONG_KEBYAR	CENGCENG		MUTED		OPEN		0		
GONG_KEBYAR	KENDANG		KA		OPEN		1	GK KENDANG KA	GK Kendang KA wadon.wav
GONG_KEBYAR	KENDANG		PAK		OPEN		2	GK KENDANG PAK	GK Kendang PAK lanang.wav
GONG_KEBYAR	KENDANG		DE		OPEN		3	GK KENDANG DE	GK Kendang DE wadon.wav
GONG_KEBYAR	KENDANG		TUT		OPEN		4	GK KENDANG TUT	GK Kendang TUT lanang.wav
GONG_KEBYAR	KENDANG		CUNG		OPEN		5	GK KENDANG CUNG	GK Kendang CUNG wadon.wav
GONG_KEBYAR	KENDANG		KUNG		OPEN		6	GK KENDANG KUNG	GK Kendang KUNG lanang.wav
GONG_KEBYAR	KENDANG		PLAK		OPEN		0		
GONG_KEBYAR	KENDANG		DAG		OPEN		0		
GONG_KEBYAR	KENDANG		DUG		OPEN		0		
GONG_KEBYAR	JEGOGAN		DING	1	OPEN		1	GK JEGOGAN ROOT	
GONG_KEBYAR	JEGOGAN		DONG	1	OPEN		2	GK JEGOGAN ROOT	
GONG_KEBYAR	JEGOGAN		DENG	1	OPEN		3	GK JEGOGAN ROOT	
GONG_KEBYAR	JEGOGAN		DUNG	1	OPEN		4	GK JEGOGAN ROOT	GK JEGOGAN DUNG1.wav
GONG_KEBYAR	JEGOGAN		DANG	1	OPEN		5	GK JEGOGAN ROOT	
GONG_KEBYAR	JEGOGAN		DING	1	ABBREVIATED		6	GK JEGOGAN ROOT	
GONG_KEBYAR	JEGOGAN		DONG	1	ABBREVIATED		7	GK JEGOGAN ROOT	
GONG_KEBYAR	JEGOGAN		DENG	1	ABBREVIATED		8	GK JEGOGAN ROOT	
GONG_KEBYAR	JEGOGAN		DUNG	1	ABBREVIATED		9	GK JEGOGAN ROOT	
GONG_KEBYAR	JEGOGAN		DANG	1	ABBREVIATED		10	GK JEGOGAN ROOT	
GONG_KEBYAR	JEGOGAN		DING	1	MUTED		11	GK JEGOGAN ROOT	
GONG_KEBYAR	JEGOGAN		DONG	1	MUTED		12	GK JEGOGAN ROOT	
GONG_KEBYAR	JEGOGAN		DENG	1	MUTED		13	GK JEGOGAN ROOT	
GONG_KEBYAR	JEGOGAN		DUNG	1	MUTED		14	GK JEGOGAN ROOT	
GONG_KEBYAR	JEGOGAN		DANG	1	MUTED		15	GK JEGOGAN ROOT	
GONG_KEBYAR	CALUNG		DING	1	OPEN		1	GK CALUNG ROOT	
GONG_KEBYAR	CALUNG		DONG	1	OPEN		2	GK CALUNG ROOT	
GONG_KEBYAR	CALUNG		DENG	1	OPEN		3	GK CALUNG ROOT	GK CALUNG DENG2.wav
GONG_KEBYAR	CALUNG		DUNG	1	OPEN		4	GK CALUNG ROOT	
GONG_KEBYAR	CALUNG		DANG	1	OPEN		5	GK CALUNG ROOT	
GONG_KEBYAR	CALUNG		DING	1	ABBREVIATED		6	GK CALUNG ROOT	
GONG_KEBYAR	CALUNG		DONG	1	ABBREVIATED		7	GK CALUNG ROOT	
GONG_KEBYAR	CALUNG		DENG	1	ABBREVIATED		8	GK CALUNG ROOT	
GONG_KEBYAR	CALUNG		DUNG	1	ABBREVIATED		9	GK CALUNG ROOT	
GONG_KEBYAR	CALUNG		DANG	1	ABBREVIATED		10	GK CALUNG ROOT	
GONG_KEBYAR	CALUNG		DING	1	MUTED		11	GK CALUNG ROOT	
GONG_KEBYAR	CALUNG		DONG	1	MUTED		12	GK CALUNG ROOT	
GONG_KEBYAR	CALUNG		DENG	1	MUTED		13	GK CALUNG ROOT	
GONG_KEBYAR	CALUNG		DUNG	1	MUTED		14	GK CALUNG ROOT	
GONG_KEBYAR	CALUNG		DANG	1	MUTED		15	GK CALUNG ROOT	
GONG_KEBYAR	PEMADE		DONG	0	OPEN		1	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DENG	0	OPEN		2	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DUNG	0	OPEN		3	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DANG	0	OPEN		4	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DING	1	OPEN		5	GK PEMADE ROOT	GK PEMADE DING3.wav
GONG_KEBYAR	PEMADE		DONG	1	OPEN		6	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DENG	1	OPEN		7	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DUNG	1	OPEN		8	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DANG	1	OPEN		9	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DING	2	OPEN		10	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DONG	0	ABBREVIATED		11	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DENG	0	ABBREVIATED		12	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DUNG	0	ABBREVIATED		13	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DANG	0	ABBREVIATED		14	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DING	1	ABBREVIATED		15	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DONG	1	ABBREVIATED		16	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DENG	1	ABBREVIATED		17	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DUNG	1	ABBREVIATED		18	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DANG	1	ABBREVIATED		19	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DING	2	ABBREVIATED		20	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DONG	0	MUTED		21	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DENG	0	MUTED		22	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DUNG	0	MUTED		23	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DANG	0	MUTED		24	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DING	1	MUTED		25	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DONG	1	MUTED		26	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DENG	1	MUTED		27	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DUNG	1	MUTED		28	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DANG	1	MUTED		29	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DING	2	MUTED		30	GK PEMADE ROOT	
GONG_KEBYAR	KANTILAN		DONG	0	OPEN		1	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DENG	0	OPEN		2	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DUNG	0	OPEN		3	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DANG	0	OPEN		4	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DING	1	OPEN		5	GK KANTILAN ROOT	GK KANTILAN DING4.wav
GONG_KEBYAR	KANTILAN		DONG	1	OPEN		6	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DENG	1	OPEN		7	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DUNG	1	OPEN		8	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DANG	1	OPEN		9	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DING	2	OPEN		10	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DONG	0	ABBREVIATED		11	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DENG	0	ABBREVIATED		12	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DUNG	0	ABBREVIATED		13	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DANG	0	ABBREVIATED		14	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DING	1	ABBREVIATED		15	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DONG	1	ABBREVIATED		16	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DENG	1	ABBREVIATED		17	GK KANTILAN ROOT	
